Watershed,SiteID,SampleDate,VisitId,MeasureNbr,Crew,VisitPhase,VisitStatus,StreamName,Panel,FishID,ChannelUnit,ChannelUnitNumber,Lane,HabitatType,FishCount,Species,SizeClass,NaturalWoodUsed,PlacedWoodUsed,NaturalBoulderUsed,PlacedBoulderUsed,NaturalOffChannelUsed,CreatedOffChannelUsed,NewSideChannelUsed,NoStructureUsed,FieldNotes
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122957,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,16,5,5,1,Slow,20,O. mykiss,,No,No,No,No,No,No,No,Yes,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122958,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,17,6,6,1,Slow,10,O. mykiss,,No,Yes,No,No,No,No,No,No,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122959,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,18,6,6,1,Slow,10,O. mykiss,,No,Yes,No,No,No,No,No,No,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122960,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,19,7,7,1,Slow,50,O. mykiss,,No,No,No,No,No,No,No,Yes,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122961,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,20,8,8,1,Fast,3,O. mykiss,,No,No,No,Yes,No,No,No,No,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122962,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,21,8,8,1,Fast,4,O. mykiss,,No,No,No,Yes,No,No,No,No,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122963,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,22,9,9,1,Slow,10,O. mykiss,,No,Yes,No,No,No,No,No,No,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122964,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,23,9,9,1,Slow,10,O. mykiss,,No,Yes,No,No,No,No,No,No,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122965,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,24,9,9,1,Slow,5,O. mykiss,,No,Yes,No,No,No,No,No,No,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122966,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,25,9,9,1,Slow,2,O. mykiss,,No,Yes,No,No,No,No,No,No,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122967,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,26,10,10,1,Slow,10,O. mykiss,,No,No,No,No,No,No,No,Yes,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122968,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,27,10,10,1,Slow,10,O. mykiss,,No,No,No,No,No,No,No,Yes,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122969,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,28,11,11,1,Slow,20,O. mykiss,,No,Yes,No,No,No,No,No,No,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122970,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,29,11,11,1,Slow,20,O. mykiss,,No,Yes,No,No,No,No,No,No,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122971,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,30,12,12,1,Slow,20,O. mykiss,,No,No,No,No,No,No,No,Yes,
